9166 2
bundling -0.839486 -0.49121442
connected -1.2692872 0.12350861
zooming -1.0881349 -0.43964109
background -0.97151357 -0.26434082
monitoring -0.84245336 -1.0536689
multivariate -0.6848675 -1.4852033
videos -0.85275537 -0.60478616
ngerprint -1.2679994 -0.49133131
abstract -0.66461295 -0.98341322
varying -0.7994051 -0.66404265
apply -1.0072567 -0.4135246
strategy -1.3048812 0.052785788
ned -1.080406 -0.20246837
selecting -1.1507431 -0.13283685
discussed -0.97949141 -0.36179811
preprocessing -0.98908627 -0.35795054
free -0.94920975 -0.54001725
massive -0.69072014 -1.7218355
geographic -0.68630785 -1.3945266
building -0.85138273 -0.67432255
plot -0.97111994 -0.36123544
summary -1.0316762 -0.2478351
questions -1.007296 -0.32948762
instance -1.044549 -0.18618163
difficult -1.0611724 -0.17156911
intervals -1.1719321 -0.057920564
collections -0.69770759 -2.0329185
ones -1.1758904 0.09804517
steps -1.1843755 0.053197529
scaling -1.2053213 -0.014815871
york -0.76716292 -1.5754825
edu -0.71805364 -2.4505336
isotime -1.059538 -0.59236521
courses -0.68493009 -1.2185419
dis -1.0370008 -0.25308466
determine -1.1086361 -0.21330374
know -0.93099487 -0.37332261
distributions -1.0826036 -0.13296117
curves -1.218344 -0.072696686
variation -0.9588449 -0.48997512
consistent -1.0647522 -0.097028568
contribution -1.3219401 0.30610719
variance -1.2859046 0.19703946
hand -1.0818899 -0.11372193
picture -0.81669533 -0.76352727
aspects -0.9581902 -0.56223834
adopted -0.92305058 -0.36137372
window -1.1853124 -0.031959526
criteria -0.98077613 -0.277246
additional -1.0208278 -0.31711909
clustered -1.3126993 0.15190049
studied -0.87961829 -0.69920361
air -0.59820384 -1.2057462
nov -0.68945307 -1.8691448
billboard -1.0992439 -0.29595828
activation -1.4710373 0.46857092
ust -0.65935779 -2.5054855
dag -1.3056712 0.22559366
adopt -1.1078899 -0.15543273
marked -1.3566903 0.21186434
valuable -0.83983177 -0.77994055
vehicles -0.96911222 -0.91247541
song -0.87805116 -2.6234698
actions -0.82534683 -0.59389287
sources -0.79147547 -0.7726624
cient -0.85970241 -0.80685174
length -1.2446148 0.10149661
indicating -1.2215823 -0.013919786
white -0.9727748 -0.33351964
xu -0.7138893 -1.6449
start -1.1500626 -0.0027347803
setting -1.014258 -0.50014377
reviews -0.88588178 -0.93781853
estimate -0.93827635 -0.50713962
relative -1.3705392 0.27202529
ensure -1.4871396 0.3064408
specifically -1.2021489 0.075904682
r2 -1.1776549 -0.023380358
patient -1.1682618 -0.089539871
ciency -0.91971666 -0.91158563
critical -1.0735972 -0.17361496
uence -1.2309258 -0.18055402
streams -0.62946486 -1.4487958
calculate -1.2402672 0.13656442
education -0.76244301 -0.65533066
created -1.5021273 0.43361312
employed -0.98101759 -0.29188073
simultaneously -1.0624069 -0.37131256
visualized -1.0182239 -0.42819595
interact -0.98125017 -0.30500472
examining -1.1309696 -0.040825099
identi -0.99186277 -0.47835895
requires -0.84578395 -0.70297372
samples -1.103753 0.10246932
figs -1.6635135 0.54256988
supports -0.95368671 -0.5682838
political -0.99437344 -0.18020247
complexity -0.92989111 -0.39863876
construction -0.94964051 -0.5412873
engines -0.83380461 -0.90988082
loss -1.2368965 0.28649047
station -1.0202067 -0.74093133
pts -1.0110189 -1.1305512
inspired -1.0157565 -0.30116838
prediction -0.83926672 -0.55105335
object -0.61127621 -1.2705109
district -1.0128113 -0.30390319
advanced -0.77061146 -1.0586128
component -0.90241104 -0.61894244
retrieval -0.63971746 -1.3606277
histogram -1.1050423 -0.078133076
similarities -1.1716424 -0.025668459
participants -1.1444939 -0.0078857401
yuan -0.81267405 -2.3542387
ni -0.68189889 -1.7252207
clickstream -0.74496067 -0.89323711
manually -1.0785301 -0.064630255
insights -0.85128802 -0.6134578
development -0.77557093 -0.78296655
article -0.62466967 -1.5385892
stream -0.86486506 -0.5976299
discussions -0.94552082 -0.27032614
aware -0.70413285 -0.89940071
vast -0.76782489 -2.2075729
learn -0.79789048 -0.8749547
wattenberg -0.79480195 -2.3968635
student -0.7481792 -1.0896317
drawn -1.2937174 0.2194429
automatic -0.73046505 -1.074958
typical -0.9813 -0.38489908
dimensional -0.73255783 -1.00178
regarding -1.0194466 -0.21751864
objects -0.8334254 -0.68775833
packing -1.0139147 -0.18577956
guo -0.77050203 -2.2877748
axes -1.1517516 -0.12985803
trips -0.74755114 -1.1868318
zheng -0.79859215 -2.4915469
october -0.9068926 -0.35528126
focuses -0.7637583 -1.0209565
encoded -1.1704921 -0.088252686
merge -1.2880679 0.1900844
branch -1.2753512 -0.05682531
determined -1.305143 0.26803258
avoid -1.1453998 -0.14020972
indicated -1.243042 0.097439103
changing -1.1359954 -0.16868152
variable -1.290586 0.26042724
transfer -0.92852521 -0.93819171
treemap -1.0391974 -0.22278361
summarized -0.92955935 -0.54604763
xi -1.0007504 -0.034507018
dimension -0.91048247 -0.52581865
sector -1.1107947 -0.33803701
analyst -1.0010594 -0.30409181
companies -1.15477 0.08009921
wind -1.2144625 -0.93532926
polar -1.0485079 -0.91516149
reach -1.345246 0.046834778
coverage -1.0640341 -0.086916596
business -0.63672423 -0.94804609
underlying -1.0493807 -0.14211589
cally -1.0287553 -0.34029776
intuitively -1.0833961 -0.31033665
elements -0.87913734 -0.58656269
standard -0.97435963 -0.34803131
health -0.97534418 -0.27322057
role -0.82009047 -0.40145048
record -0.78297377 -0.77914083
smaller -1.4492549 0.42855662
properties -0.82764757 -0.61333495
experiment -1.3921986 0.29271963
estimation -0.92136097 -0.51499915
classification -0.72074199 -0.90720326
g2 -2.0404668 1.0144527
strips -1.5740439 0.3578698
gps -0.73702949 -1.1373358
ft -1.9502465 0.99925131
shixia -0.63722998 -2.0997534
introduction -0.68614614 -0.9893164
handle -1.0289298 -0.43217775
implementation -1.2132372 0.044480711
straight -1.509528 0.3657662
scatterplot -1.0689695 -0.19245204
illustrated -1.1194444 -0.04966253
districts -1.0205867 -0.36409619
neural -0.65438795 -1.5772108
digital -0.58580232 -1.6637552
